sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec,pl_x,pl_y,pl_z
1,1,Imaging,2009,7336.5,,10.31,6657.48,0.26,,2075,2300,0.12,0.08,325.1218214,16.4213408,0.786905811,-0.548507668,0.28269875
1,1,Imaging,2016,,230,,3972.875,,,,4045,,0.6,339.1025931,47.861683,0.626789793,-0.239315244,0.741527322
4,1,Radial Velocity,2009,335.10001,0.99,,4392.4106,0.29,,,6331,1.41,1.93,39.2412736,24.6480103,0.703922961,0.574950427,0.417042529
1,1,Radial Velocity,2006,269.3,0.87,,2256.5,0.432,,,4415,18.11,1.23,130.0528099,64.3280504,-0.278772856,0.331607352,0.901289221
2,1,Radial Velocity,2008,479.1,1.19,,1233.13,0.38,,,4200,22.03,0.98,276.4975053,65.5633652,0.04681276,-0.411029436,0.910419337
1,3,Radial Velocity,1996,1078,2.1,,804.08,0.032,,,5872,1.21,1.06,164.8647611,40.4304931,-0.734789169,0.198746237,0.648525104
1,3,Radial Velocity,2001,2391,3.6,,171.621,0.098,,,5872,1.21,1.06,164.8647611,40.4304931,-0.734789169,0.198746237,0.648525104
1,3,Radial Velocity,2009,14002,11.6,,521.22,0.16,,,5872,1.21,1.06,164.8647611,40.4304931,-0.734789169,0.198746237,0.648525104
3,1,Imaging,2015,,13.2,,635.66,,,700,,,1.75,69.4007424,-2.4738245,0.35150163,0.935191725,-0.043162969
1,1,Radial Velocity,1995,4.230785,0.0527,,150.009,0.013,,,5758,1.18,1.03,344.3675399,20.7690958,0.900430852,-0.251954791,0.354602684
2,5,Radial Velocity,1996,14.6516,0.1134,,255.4,0,,,5172,0.94,0.91,133.1468373,28.3298154,-0.601963629,0.642219258,0.474546325
2,5,Radial Velocity,2004,44.3989,0.2373,,51.2,0.03,,,5172,0.94,0.91,133.1468373,28.3298154,-0.601963629,0.642219258,0.474546325
2,5,Radial Velocity,2002,5574.2,5.957,,991.6,0.13,,,5172,0.94,0.91,133.1468373,28.3298154,-0.601963629,0.642219258,0.474546325
2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,0.05,,,5172,0.94,0.91,133.1468373,28.3298154,-0.601963629,0.642219258,0.474546325
2,5,Radial Velocity,2007,259.88,0.7708,,47.8,0.08,,,5172,0.94,0.91,133.1468373,28.3298154,-0.601963629,0.642219258,0.474546325
1,1,Radial Velocity,2008,934.3,2.11,,638.8383,0.073,,,4938,5.2,1.44,97.6960311,58.1611753,-0.070645731,0.522779826,0.849535423
1,3,Radial Velocity,2009,4.215,0.050201,,5.1,0.12,,,5577,0.96,0.94,199.596455,-18.3157745,-0.894351577,-0.318401921,-0.314253837
1,3,Radial Velocity,2009,38.021,0.2175,,18.2,0.14,,,5577,0.96,0.94,199.596455,-18.3157745,-0.894351577,-0.318401921,-0.314253837
1,3,Radial Velocity,2009,123.01,0.476,,22.9,0.35,,,5577,0.96,0.94,199.596455,-18.3157745,-0.894351577,-0.318401921,-0.314253837
1,2,Radial Velocity,2011,735.1,1.758,,587.9855,0.06,,,4826,4.87,1.34,99.171276,-19.2561808,-0.150469175,0.931984948,-0.329792487
1,2,Radial Velocity,2019,996,2.153,,276.5121,0.08,,,4826,4.87,1.34,99.171276,-19.2561808,-0.150469175,0.931984948,-0.329792487
1,1,Radial Velocity,1996,116.688,0.481,,2357.02728,0.3988,,,5495,1.89,1.09,202.1064898,13.7763085,-0.899833629,-0.365503281,0.238131878
2,1,Radial Velocity,2012,691.9,2.1,,953.49,0.117,,,4846,10.5,2.49,38.0391598,-1.0350269,0.787461281,0.616099371,-0.018063645
1,1,Radial Velocity,2015,93.4,0.49,,416.3573,0.06,,,4847,10.3,1.44,224.201685,74.9009379,-0.186741775,-0.181609126,0.965476895
1,1,Radial Velocity,2008,952.7,2.5,,1684.4,0.206,,,4785,11,2.4,39.4243555,-3.3963607,0.771106929,0.63394351,-0.059242967
3,1,Radial Velocity,2013,181.4,0.7,,1017,0.027,,,4665,11,1.4,348.9745031,-9.0878076,0.969221308,-0.188845181,-0.157947944
1,1,Imaging,2005,,260,,4290.5,,,,,,,94.8039208,-58.0541184,-0.044311535,0.527259287,-0.84854825
1,1,Transit,2020,8.46321,0.066,4.203,57.2094,0.1,,,3700,0.75,0.5,311.2911369,-31.34245,0.563590797,-0.641722119,-0.520152031
1,1,Radial Velocity,2017,481.9,1.3,,2034.112,0.2,,,4095,32.35,1.14,177.5647268,2.7601075,-0.997937816,0.042441446,0.048154334
1,1,Radial Velocity,2009,268.94,0.78,,330.5432,0.29,,,4864,0.86,0.49,318.4010002,14.6893834,0.723367339,-0.642212995,0.253578711
1,1,Radial Velocity,2016,153.22,0.576,,337.21763,0.001,,,4649,8.95,1.08,176.4820239,14.6163182,-0.96581392,0.059375866,0.252344958
1,1,Radial Velocity,2013,137.48,0.539,,352.78,0.26,,,4796,14.7,1.1,240.09564,15.5467507,-0.480312662,-0.835142251,0.268024565
1,2,Radial Velocity,2009,379.63,1.05,,17668.1697,0.15,,,4259,71.02,10.83,154.186782,19.8912626,-0.846511335,0.409460521,0.340236156
1,2,Radial Velocity,2009,621.99,2.01,,3963.17,0.18,,,4137,49,2.8,154.186782,19.8912626,-0.846511335,0.409460521,0.340236156
1,1,Radial Velocity,2012,578.2,1.3,,1334.886,0.21,,,4296,17.3,0.8,25.9203179,21.0052692,0.839635229,0.408072975,0.358453805
1,1,Transit,2016,41.6855,,2.578,22.2481,0,,,5766,1.08,1.67,53.6511231,20.5990205,0.554806492,0.753928691,0.351825646
1,1,Radial Velocity,2011,392.6,1,,289.2253,0.2,,,4414,11,0.74,40.7102869,49.5869395,0.491417635,0.422839377,0.76139055
1,1,Radial Velocity,2018,733,1.7,,540.311,0.76,,,4534,10.33,1.09,40.7425426,48.9300579,0.497760727,0.428785208,0.753908154
1,1,Radial Velocity,2015,2590,4.2,,508.5,0.35,,,4943,7.6,1.52,45.6406187,49.7299481,0.451928603,0.462149247,0.763006298
1,2,Radial Velocity,2013,3.8728,0.0428,,8.5,0,,,4324,,0.7,88.2511811,-5.9963378,0.030350932,0.994065343,-0.104464896
1,2,Radial Velocity,2013,125.94,0.435,,53,0.31,,,4324,,0.7,88.2511811,-5.9963378,0.030350932,0.994065343,-0.104464896
1,2,Radial Velocity,2009,5.6,0.06,,12.7132,0.15,,,4816,0.71,0.5,150.1971964,-9.5165689,-0.855799135,0.490176398,-0.165332815
1,2,Radial Velocity,2009,237.6,0.68,,104,0.19,,,4746,,0.74,150.1971964,-9.5165689,-0.855799135,0.490176398,-0.165332815
1,1,Radial Velocity,2000,3.48777,0.04,,187.5197,0.02,,,5393,0.91,1.47,164.6191243,-10.7704227,-0.947198779,0.260561898,-0.186874212
1,2,Radial Velocity,2014,1634,2.36,,206.5895,0.05,,,4550,0.64,0.65,278.3688659,-11.6370481,0.142553761,-0.969015471,-0.201711284
1,2,Radial Velocity,2020,74.2,0.3,,15.37,0.4,,,4550,0.64,0.65,278.3688659,-11.6370481,0.142553761,-0.969015471,-0.201711284
1,1,Radial Velocity,2007,714.29999,1.66,,3108.3774,0.21,,,4545,19.17,2.12,114.2884692,-13.9066703,-0.399274207,0.884769059,-0.24034105
1,1,Radial Velocity,2008,655.6,1.34,,1620.9,0.54,,,4714,0.69,0.74,7.1413494,-16.2273254,0.952712055,0.119364846,-0.279449056
1,1,Imaging,2011,10037.5,2.6,,3337.1,,,370,580.5,,0.02,224.6208333,10.2286111,-0.700458558,-0.691248513,0.177576184
1,1,Imaging,2006,,210,,3994.486,,,,,,0.35,166.6193985,-77.6258725,-0.208477107,0.049591669,-0.976769145
1,1,Radial Velocity,2019,8.9891,,,3686.828,0.25,,,,,0.9,68.4667685,22.8416192,0.338257988,0.857259499,0.388185118
1,1,Imaging,2007,,440,24.66,5403,,,2600,,,,166.0375038,-76.4553693,-0.227282939,0.056510007,-0.972187783
1,1,Transit,2008,1.5089557,,16.7,327.35,0,,1898,5950,1.11,0.95,102.0798591,-3.1021394,-0.208968174,0.97642396,-0.054116098
1,1,Transit,2010,13.2406,0.1055,10.87,874,0.53,,600,5075,0.79,0.89,291.0636813,0.7460143,0.35937489,-0.933102442,0.013020038
1,1,Transit,2010,2.99433,0.0436,16.03,740.51,0,,1657,6440,1.37,1.27,280.6872998,5.9376586,0.184453879,-0.977382028,0.103446299
1,1,Transit,2010,2.828042,0.04016,16.14,291.438,0.07,,1442,5675,1.12,1.08,100.7656871,-1.2964437,-0.1867452,0.982147813,-0.02262528
1,1,Transit,2010,4.03519,0.051,9.92,415.704,0,,1700,5945,1.01,1.09,102.7211432,-5.0864557,-0.219339019,0.971612065,-0.088658838
1,1,Transit,2010,1.51214,0.027,12.22,2415.4,0,,1952,6035,1.21,1.13,103.4242023,-5.5360385,-0.231075938,0.968141052,-0.096471828
1,1,Transit,2011,5.35227,0.0618,13.11,170.032,0.33,,,5650,1.19,1.1,278.5246658,-6.0026026,0.147422416,-0.98352986,-0.104573638
1,1,Transit,2011,3.7681,0.0461,11.43,772.29,0,,1626,5740,1.59,1.04,278.699236,-6.612288,0.150241554,-0.981920521,-0.115150193
1,1,Transit,2011,1.9000693,0.0295,14.68,1102.82,0.08,,1550,5440,1,0.95,98.1724172,-0.0316045,-0.142152407,0.989844629,-0.000551603
1,1,Transit,2011,3.89713,0.0518,14.46,352.78,0.047,,2000,6090,1.65,1.21,97.0335983,-0.1707293,-0.122450809,0.992470111,-0.002979784
2,1,Transit,2008,1.7429935,0.02798,16.432,1102.82,0.0143,,,5625,0.91,0.96,291.7770457,1.3836634,0.370887652,-0.928363757,0.024147135
1,2,Transit,2011,9.24285,0.09,,1366.669,0.59,,,,,1.14,97.7204249,0.2268931,-0.134338391,0.990927603,0.003960021
1,2,Radial Velocity,2018,1675,2.9,,5403.11,0.6,,,,,1.14,97.7204249,0.2268931,-0.134338391,0.990927603,0.003960021
1,1,Transit,2012,2.72474,0.0417,14.572,718.2958,0,,,6200,1.95,1.29,101.0526207,-0.2991544,-0.191707832,0.981438152,-0.005221206
1,1,Transit,2014,9.75598,0.092,4.88,12.2,0.077,,885,5939,1.14,1.1,280.6671392,6.2191669,0.184013656,-0.976935602,0.108331919
1,1,Transit,2011,3.6313,0.048,11.77,889.9,0.16,,1660,5900,1.61,1.14,279.7826586,4.3577516,0.169420039,-0.982610458,0.075983807
1,2,Transit,2014,5.1134,0.056,3.7,5.7,0,,1070,4950,0.86,0.91,101.922543,-3.7192892,-0.206154053,0.976367049,-0.064868263
1,2,Transit,2014,11.759,0.098,5,28,0,,850,4950,0.86,0.91,101.922543,-3.7192892,-0.206154053,0.976367049,-0.064868263
1,1,Transit,2013,4.86069,0.0578,12.11,85.81,0,,1330,6040,1.19,1.09,280.6296561,6.5138223,0.183269311,-0.976495298,0.113442904
1,1,Transit,2013,4.20474,0.0526,14.12,165.26,0,,1600,5590,1.79,1.09,279.7504991,6.9697828,0.168106581,-0.978271618,0.121345868
1,1,Transit,2014,3.57532,0.0476,11.287,3302.11,0.065,,1500,5900,1.08,1.05,278.4958319,5.5383811,0.14704779,-0.98440961,0.096512524
1,1,Transit,2015,5.20851,0.0603,10.705,153.82972,0.047,,,5150,1.78,1.01,278.6883216,5.5736911,0.150345143,-0.983851054,0.097125904
1,1,Transit,2015,2.85057,0.0386,10.088,270.1555,0.082,,,5260,0.9,0.97,278.9020691,6.4795703,0.15375757,-0.981643381,0.112848933
1,1,Transit,2008,4.2568,,11.32,6883.91,0,,,6740,1.56,1.37,292.0552827,0.1218359,0.375500177,-0.926819883,0.002126436
1,1,Transit,2020,9.06005,0.0844,11.31,921.707,0.007,,,5650,0.91,0.98,277.6011767,6.8359338,0.131336399,-0.984166346,0.119026696
1,1,Transit,2020,4.62941,0.0586,16.365,266.9772,0.02,,,5700,2.15,1.25,94.820735,-4.4222978,-0.083788265,0.993495863,-0.077107045
1,1,Transit,2008,9.20205,0.09,13.34,228.83,0,,1074,6190,1.17,1.16,102.1946233,-0.6727861,-0.211218511,0.977368336,-0.011742063
1,1,Transit,2009,4.0378962,0.04947,15.558,148.42,0.09,,1438,6100,1.19,1,101.2772396,0.8152163,-0.195536791,0.980593155,0.014227728
1,1,Transit,2009,8.886593,0.0855,13.068,940.74,0.1,,1017,6090,1.02,1.05,281.0725563,6.6632062,0.190754682,-0.974755873,0.116032926
1,2,Transit,2009,0.85359163,,1.681,4.07661,0,,,5275,0.83,0.82,100.9561682,-1.0630076,-0.190025276,0.981603902,-0.018551918
1,2,Radial Velocity,2009,3.698,0.046,,8.4,0,,,5256,0.86,0.9,100.9561682,-1.0630076,-0.190025276,0.981603902,-0.018551918
1,1,Transit,2010,6.21229,0.063,6.39,69.92,0,,,5080,0.77,0.88,291.5885696,1.4262972,0.367825058,-0.929561813,0.024891011
2,1,Transit,2009,95.272656,0.4021,11.949,266.9772,0.133,,420,5625,0.96,0.96,280.7866461,6.2040783,0.186056268,-0.976577654,0.108070119
1,1,Transit,2017,6.71837,0.071,6.389,47.6745,,132.26,938,5970,0.79,1.08,100.1951714,9.2573953,-0.174696456,0.971391787,0.160869958
2,1,Timing Variation,2018,4098.1,5.75,,3823.2733,0,,,,,0.51,201.7207198,45.5455449,-0.650616946,-0.25918451,0.713807382
1,1,Astrometry,2013,246.36,0.36,,9057.77,0.345,,,,,0.07,125.7620668,-49.2003008,-0.381870122,0.530215524,-0.756998486
1,1,Imaging,2004,,330,,3496,,,,,0.27,0.33,67.4231674,26.5493897,0.343437189,0.825996082,0.446969092
1,4,Radial Velocity,2019,18.57,0.1462,,24.27,0.083,,877,6196,1.26,1.21,86.7761233,-10.6303217,0.05527242,0.981282438,-0.184471507
1,4,Radial Velocity,2019,6.584,0.0733,,9.6,0.057,,1239,6196,1.26,1.21,86.7761233,-10.6303217,0.05527242,0.981282438,-0.184471507
1,4,Radial Velocity,2019,2.882,0.0422,,3.35,0.07,,1632,6196,1.26,1.21,86.7761233,-10.6303217,0.05527242,0.981282438,-0.184471507
1,4,Radial Velocity,2019,5.516,0.0651,,4.13,0.07,,1314,6196,1.26,1.21,86.7761233,-10.6303217,0.05527242,0.981282438,-0.184471507
1,1,Radial Velocity,2019,5.2072,0.0664,,138.89171,0.078,,1000,6500,1.78,1.44,27.407731,-34.4590985,0.731979494,0.379547445,-0.565817777
2,1,Radial Velocity,2019,6.6732,0.0662,,2.58,0.14,,854,5138,0.91,0.87,91.624382,-72.5126648,-0.008518136,0.300374224,-0.953783396
2,1,Timing Variation,2009,10220,8.19,,1922.79,0.39,,,,,0.69,169.3162193,17.9615717,-0.934773707,0.176353277,0.308379051
2,1,Transit,2019,8.138268,,5.7,,0,,850,5428,0.96,1.01,354.9154673,-69.196043,0.353773933,-0.031477221,-0.93480115
1,1,Transit,2020,6.7987,0.0349,1.047,,0,,,3648,0.28,0.29,170.1408561,-4.8070039,-0.981766242,0.170624333,-0.083799655
1,1,Transit,2019,28.1656,,1.87,,,,,,,0.41,179.7058532,-3.3894613,-0.998237565,0.005124827,-0.059122761
1,1,Transit,2019,2.13174,,0.692,,,,,,,0.78,168.9366786,0.4880606,-0.981380102,0.191886779,0.008518161
1,2,Transit,2019,3.80464,,1.22,,,,,,,1.07,185.1880932,2.2823788,-0.995113152,-0.090353885,0.03982449
1,3,Transit,2019,2.71578,,1.03,,,,,,,0.67,175.0972238,4.5574311,-0.993190913,0.085194975,0.079458328
1,1,Transit,2020,2.0478,0.0296,0.908,,0,,,4520,0.66,0.73,173.9385102,4.6164303,-0.99118312,0.105253154,0.08048476
1,2,Transit,2019,3.96151,,1,,,,,,,0.61,169.483654,5.988289,-0.977837775,0.181520086,0.104325185
1,1,Transit,2019,4.1698,0.035,1.04,,,,,5053,0.63,0.8,175.206752,6.1348146,-0.990795933,0.083081877,0.106868241
1,2,Transit,2019,8.050722,,1.31,,,,961,5502.7,0.83,0.88,333.1100738,-16.3418863,0.855845099,-0.434005812,-0.281368303
1,1,Transit,2019,4.50756,,1.7,,,,,,,0.93,331.2771441,-14.1218019,0.850452301,-0.466050073,-0.243984045
1,1,Transit,2019,2.87814,,1.01,,,,,,,0.22,341.2404563,-13.9011223,0.919144241,-0.312178179,-0.240247057
1,1,Transit,2019,5.29711,,1.62,,,,,,,0.56,337.5136198,-13.6101475,0.898024773,-0.37172397,-0.235314251
1,1,Transit,2019,2.25372,,0.9,,,,,,,0.41,335.0949721,-9.5097112,0.894542621,-0.415328277,-0.165214771
1,1,Transit,2019,1.58252,,0.96,,,,,,,0.71,337.6178427,-7.972456,0.915727646,-0.377102126,-0.13869703
1,1,Transit,2016,21.169861,0.131,1.98,,0.06,3.5,,4148.21,0.57,0.66,130.4102091,17.6399744,-0.617774267,0.725620313,0.303034844
1,1,Transit,2018,19.49221,0.1493,5.76,,,,817,6069,1.39,1.17,136.5741931,19.4020565,-0.68502106,0.648376926,0.332194986
1,1,Transit,2019,2.28943,,1.323,,,,,,,0.83,207.2061241,-17.6098985,-0.84769034,-0.435768202,-0.302534561
1,1,Transit,2019,18.0983,,2.17,,,,,,,1.11,202.3313765,-14.3594358,-0.896103787,-0.368092347,-0.248004089
1,1,Transit,2019,34.885,,1.6,,,,,,,0.91,202.488752,-12.7347749,-0.901226218,-0.37309286,-0.220438251
1,1,Transit,2019,15.2841,,1.12,,,,,,,0.95,205.4445125,-10.8625468,-0.886821899,-0.421938611,-0.188453514
1,2,Transit,2019,13.603,0.098,2.586,,0.2,,536,4684,0.67,0.69,204.2215065,-7.3180577,-0.904537623,-0.406923498,-0.127377214
1,2,Transit,2019,65.55,0.28,2.69,,0.2,,316,4684,0.67,0.69,204.2215065,-7.3180577,-0.904537623,-0.406923498,-0.127377214
1,2,Transit,2019,0.70531,,1.48,,,,,,,0.94,13.4321524,7.9952914,0.963191077,0.230035744,0.13909172
1,2,Transit,2016,0.571331,0.0134,1.82,,,,2119,5617,0.98,0.97,13.0800239,10.7947051,0.956818602,0.222307033,0.187290537
1,2,Transit,2016,13.339079,0.1091,2.73,,,,741,5617,0.98,0.97,13.0800239,10.7947051,0.956818602,0.222307033,0.187290537
2,1,Transit,2018,6.180235,0.07229,11.781,953.49,,642,1401,6202,1.59,1.32,78.9198197,16.2786991,0.184477828,0.942016089,0.280309862
1,1,Transit,2018,3650,4.5,12.442,4131.79,0,0.19,183,4898,2.7,0.9,159.3890808,11.8427484,-0.916069438,0.344527125,0.205226328
1,3,Transit,2020,3.5951,0.047,1.95,8.75,0.06,1037,1616,5430,1.71,1.05,228.2482353,-16.7246474,-0.637736072,-0.714478604,-0.287772528
1,3,Transit,2020,15.624,0.13,3.67,14.67,0.07,160,990,5430,1.71,1.05,228.2482353,-16.7246474,-0.637736072,-0.714478604,-0.287772528
1,3,Transit,2020,35.747,0.22,3.94,10.18,0.15,53,752,5430,1.71,1.05,228.2482353,-16.7246474,-0.637736072,-0.714478604,-0.287772528
1,1,Imaging,2008,,800,,5085.28,,,2375,2838,,0.05,65.8974962,25.0506711,0.369956454,0.826951058,0.423419615
1,1,Transit,2019,5.746007,0.0385,2.025,,0,7.2,456,3348,0.31,0.29,134.7188514,21.0747961,-0.656564088,0.663039393,0.359586375
1,3,Radial Velocity,2020,3.204,0.021,,1.37,0.31,3.8,,2953,0.16,0.12,54.0032486,-44.5143104,0.419102474,0.576913852,-0.701087386
1,3,Radial Velocity,2020,6.689,0.035,,1.74,0.29,1.4,,2953,0.16,0.12,54.0032486,-44.5143104,0.419102474,0.576913852,-0.701087386
1,3,Radial Velocity,2020,13.031,0.054,,1.64,0.53,0.6,,2953,0.16,0.12,54.0032486,-44.5143104,0.419102474,0.576913852,-0.701087386
1,2,Transit,2015,1.628931,0.0153,1.13,1.66,0.22,,529,3270,0.21,0.18,153.7090696,-47.1549358,-0.609674762,0.301199963,-0.733195244
1,2,Radial Velocity,2018,8.929,0.0476,,2.64,0.27,,300,3270,0.21,0.18,153.7090696,-47.1549358,-0.609674762,0.301199963,-0.733195244
1,2,Radial Velocity,2010,41.38,0.166,,96.7,0.38,,,3287,0.36,0.34,175.4326081,42.7515862,-0.731971833,0.058473799,0.678821075
1,2,Radial Velocity,2017,532.58,0.912,,68.06,0.342,,,3287,0.36,0.34,175.4326081,42.7515862,-0.731971833,0.058473799,0.678821075
1,1,Radial Velocity,2021,2.018,0.01735,,2.5,0,,,,,,177.7304866,48.3732334,-0.663754433,0.026305392,0.747487846
1,1,Transit,2009,1.58040456,0.01411,2.847,6.26125,,,,3026,0.22,0.15,258.8313991,4.9606795,-0.192971207,-0.977386667,0.086472062
1,1,Transit,2020,0.5182349,0.00916,1.193,2.09,0,,1089,3458,0.39,0.38,306.9286462,-56.4622865,0.331944471,-0.441648471,-0.833522343
1,1,Radial Velocity,2018,3.6511,0.026,,7.4,0.04,,,3236,0.19,0.18,333.4324675,-17.6870623,0.852129263,-0.426110761,-0.303817937
1,2,Transit,2019,35.61253,0.1915,2.61,22.7,0.188,,422,4640,0.69,0.73,51.7501882,-63.500166,0.27623561,0.350405568,-0.894935654
2,2,Radial Velocity,2014,11.4407,0.072,,3.03,0.094,,,3607,0.38,0.38,4.6126677,44.0247296,0.716711028,0.057824689,0.694968782
2,2,Radial Velocity,2018,7600,5.4,,36,0.27,,,3607,0.38,0.38,4.6126677,44.0247296,0.716711028,0.057824689,0.694968782
1,1,Radial Velocity,2014,5.2354,0.053,,10.2,0.06,,,4347,,0.69,61.6454173,-20.8564724,0.443807305,0.822361849,-0.356028181
1,3,Radial Velocity,2013,8.63182,0.0607,,10.6,0.073,,,,,,62.3228353,-53.3711768,0.277127532,0.528361708,-0.802517437
1,3,Radial Velocity,2013,25.63058,0.1254,,6.8,0.099,,,,,,62.3228353,-53.3711768,0.277127532,0.528361708,-0.802517437
1,3,Radial Velocity,2013,603.95116,1.0304,,29.4,0.373,,,,,,62.3228353,-53.3711768,0.277127532,0.528361708,-0.802517437
1,1,Radial Velocity,2009,2288,2.41,,260.61,0.21,,,3370,0.38,0.36,73.0245495,6.4752347,0.290099416,0.950328581,0.112773746
1,3,Radial Velocity,2014,17.133,0.092,,6.49,0.07,,,,,0.43,73.460097,-17.776194,0.271091221,0.91285358,-0.305299675
1,3,Radial Velocity,2014,24.329,0.129,,6.4,0.09,,,3371,,0.43,73.460097,-17.776194,0.271091221,0.91285358,-0.305299675
1,3,Radial Velocity,2020,106.3,0.309,,7.56,0.14,,,,,0.43,73.460097,-17.776194,0.271091221,0.91285358,-0.305299675
1,1,Radial Velocity,2020,69.971,0.283,,16.2,0.72,,,,,0.62,108.0194945,-24.8921008,-0.280603463,0.862609895,-0.420910758
2,2,Radial Velocity,2020,121.995,0.339,,7.268,0.19,,,,,0.58,92.6435993,-21.8677233,-0.042804409,0.927058561,-0.372465041
2,2,Radial Velocity,2014,526.115,0.898,,8.478,0.1,,,,,0.58,92.6435993,-21.8677233,-0.042804409,0.927058561,-0.372465041
1,1,Radial Velocity,2020,14.238,0.0818,,4,0.1,2.53,351,3451,0.36,0.36,103.7002499,33.2664632,-0.198030685,0.812339119,0.548533503
1,1,Radial Velocity,2014,15.819,0.101,,13,0.08,,,3542,,0.53,9.9980016,-44.2541679,0.705374055,0.12435111,-0.697842564
1,2,Radial Velocity,2017,18.6498,0.091101,,2.89,0.1,1.06,,3382,0.29,0.29,111.852091,5.225807,-0.370664716,0.924289941,0.091081134
1,2,Radial Velocity,2017,4.7234,0.036467,,1.18,0.17,6.66,,3382,0.29,0.29,111.852091,5.225807,-0.370664716,0.924289941,0.091081134
2,1,Radial Velocity,2000,133.71,0.49,,1071.04,0.511,,350,5540,0.9,0.9,4.0634323,-79.8514218,0.175758441,0.012485777,-0.984354142
1,1,Radial Velocity,2020,11.949,0.079,,8.2,0.22,,,,,0.47,18.6432425,-53.9407751,0.557734718,0.188167199,-0.808408987
1,3,Radial Velocity,2017,1.22003,0.0197,,1.78,0.19,118.1,,3717,0.5,0.68,32.2977385,-16.3392495,0.811144314,0.512739339,-0.281324141
1,3,Radial Velocity,2017,5.974,0.057,,4.18,0.11,13.9,,3717,0.5,0.68,32.2977385,-16.3392495,0.811144314,0.512739339,-0.281324141
1,3,Radial Velocity,2017,257.8,0.698,,10.5,0.32,0.1,,3717,0.5,0.68,32.2977385,-16.3392495,0.811144314,0.512739339,-0.281324141
1,2,Radial Velocity,2007,695.66,1.151,,557.1,0.07,,,,,0.42,130.2445254,-23.452809,-0.592679602,0.700237086,-0.397993608
1,2,Radial Velocity,2018,6739.323,5.23,,522.5,0.17,,,,,0.42,130.2445254,-23.452809,-0.592679602,0.700237086,-0.397993608
1,1,Radial Velocity,2013,4100,4.5,,731,0.37,,,3900,,0.69,133.7819507,1.5420011,-0.691665205,0.721716779,0.026909747
1,4,Radial Velocity,2015,30.5987,0.14339,,23.54,0.06,1.07,,3466,0.4,0.42,67.1484425,-25.1713396,0.351467698,0.834007025,-0.425326627
1,4,Radial Velocity,2015,122.6196,0.36175,,21.09,0.11,0.17,,3466,0.4,0.42,67.1484425,-25.1713396,0.351467698,0.834007025,-0.425326627
1,4,Radial Velocity,2017,48.1345,0.19394,,7.6,0.12,0.59,,3466,0.4,0.42,67.1484425,-25.1713396,0.351467698,0.834007025,-0.425326627
