pl_name,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,ra,dec
55 Cnc e,2,5,Radial Velocity,2004,0.7365474,0.01544,1.875,7.99,0.05,,,5172,0.94,0.91,133.1468373,28.3298154
55 Cnc f,2,5,Radial Velocity,2007,259.88,0.7708,,47.8,0.08,,,5172,0.94,0.91,133.1468373,28.3298154
6 Lyn b,1,1,Radial Velocity,2008,934.3,2.11,,638.8383,0.073,,,4938,5.2,1.44,97.6960311,58.1611753
61 Vir b,1,3,Radial Velocity,2009,4.215,0.050201,,5.1,0.12,,,5577,0.96,0.94,199.596455,-18.3157745
61 Vir c,1,3,Radial Velocity,2009,38.021,0.2175,,18.2,0.14,,,5577,0.96,0.94,199.596455,-18.3157745
61 Vir d,1,3,Radial Velocity,2009,123.01,0.476,,22.9,0.35,,,5577,0.96,0.94,199.596455,-18.3157745
7 CMa b,1,2,Radial Velocity,2011,735.1,1.758,,587.9855,0.06,,,4826,4.87,1.34,99.171276,-19.2561808
7 CMa c,1,2,Radial Velocity,2019,996,2.153,,276.5121,0.08,,,4826,4.87,1.34,99.171276,-19.2561808
70 Vir b,1,1,Radial Velocity,1996,116.688,0.481,,2357.02728,0.3988,,,5495,1.89,1.09,202.1064898,13.7763085
75 Cet b,2,1,Radial Velocity,2012,691.9,2.1,,953.49,0.117,,,4846,10.5,2.49,38.0391598,-1.0350269
8 UMi b,1,1,Radial Velocity,2015,93.4,0.49,,416.3573,0.06,,,4847,10.3,1.44,224.201685,74.9009379
81 Cet b,1,1,Radial Velocity,2008,952.7,2.5,,1684.4,0.206,,,4785,11,2.4,39.4243555,-3.3963607
91 Aqr b,3,1,Radial Velocity,2013,181.4,0.7,,1017,0.027,,,4665,11,1.4,348.9745031,-9.0878076
AB Pic b,1,1,Imaging,2005,,260,,4290.5,,,,,,,94.8039208,-58.0541184
AU Mic b,1,1,Transit,2020,8.46321,0.066,4.203,57.2094,0.1,,,3700,0.75,0.5,311.2911369,-31.34245
BD+03 2562 b,1,1,Radial Velocity,2017,481.9,1.3,,2034.112,0.2,,,4095,32.35,1.14,177.5647268,2.7601075
BD+14 4559 b,1,1,Radial Velocity,2009,268.94,0.78,,330.5432,0.29,,,4864,0.86,0.49,318.4010002,14.6893834
BD+15 2375 b,1,1,Radial Velocity,2016,153.22,0.576,,337.21763,0.001,,,4649,8.95,1.08,176.4820239,14.6163182
BD+15 2940 b,1,1,Radial Velocity,2013,137.48,0.539,,352.78,0.26,,,4796,14.7,1.1,240.09564,15.5467507
BD+20 2457 b,1,2,Radial Velocity,2009,379.63,1.05,,17668.1697,0.15,,,4259,71.02,10.83,154.186782,19.8912626
BD+20 2457 c,1,2,Radial Velocity,2009,621.99,2.01,,3963.17,0.18,,,4137,49,2.8,154.186782,19.8912626
